"Name","Style","ABV","Ratings","Avg","Score","Reviews","pDev","State","Brewery","Beer_URL"
"M-43 NE India Pale Ale","American IPA",6.8,236,4.45,96,54,6.97,"MI","Old Nation Brewing Co.","/beer/profile/41783/257755/"
"Sanders Bumpy Cake","American Brown Ale",8.5,20,3.89,85,4,7.97,"MI","Old Nation Brewing Co.","/beer/profile/41783/255201/"
"Sanders Chocolate Stout","Milk / Sweet Stout",4.8,17,3.68,84,5,6.25,"MI","Old Nation Brewing Co.","/beer/profile/41783/214143/"
"The German Hobo","American Malt Liquor",11.9,17,3.6,83,6,9.17,"MI","Old Nation Brewing Co.","/beer/profile/41783/261369/"
"Two Crow Stout","English Stout",6.2,33,3.54,82,9,14.12,"MI","Old Nation Brewing Co.","/beer/profile/41783/185582/"
"Olde Peninsula Midnight Stout","American Stout",6,17,3.82,84,11,8.38,"MI","Olde Peninsula Brewpub & Restaurant","/beer/profile/2707/6426/"
"Olde Peninsula Opie IPA","American IPA",5.5,19,3.64,83,9,10.44,"MI","Olde Peninsula Brewpub & Restaurant","/beer/profile/2707/27377/"
"Olde Peninsula Rockin' Razberry Wheat","Fruit / Vegetable Beer",5.5,11,3.33,82,8,15.62,"MI","Olde Peninsula Brewpub & Restaurant","/beer/profile/2707/13519/"
"Olde Peninsula Sunset Red","American Amber / Red Ale",5.7,18,3.62,83,12,13.54,"MI","Olde Peninsula Brewpub & Restaurant","/beer/profile/2707/6427/"
"Bourbon Barrel Aged Sweet Water Street","American Double / Imperial Stout",11.2,12,4.36,87,1,3.21,"MI","One Well Brewing","/beer/profile/37646/190640/"
"SimcoeRillo","American IPA",NA,16,3.8,84,1,8.68,"MI","One Well Brewing","/beer/profile/37646/146744/"
"Sweet Water Street","American Porter",7.1,28,4.32,89,2,9.72,"MI","One Well Brewing","/beer/profile/37646/179034/"
"Xalapa","Chile Beer",NA,19,3.66,83,2,16.12,"MI","One Well Brewing","/beer/profile/37646/146748/"
"Zeus' Sexual Appetite","American IPA",5.2,11,3.92,85,2,10.2,"MI","One Well Brewing","/beer/profile/37646/196198/"
"Bum's Beach Wheat","American Pale Wheat Ale",5.7,21,3.85,85,5,9.09,"MI","Ore Dock Brewing Company","/beer/profile/29238/90947/"
"Dream Weaver","Belgian Dark Ale",5.9,17,3.76,84,2,9.31,"MI","Ore Dock Brewing Company","/beer/profile/29238/84661/"
"Fresh Coast: BIPA","Belgian IPA",7.5,16,3.72,84,2,9.95,"MI","Ore Dock Brewing Company","/beer/profile/29238/102961/"
"Ore Dock IPA","American IPA",7,10,3.75,84,2,12,"MI","Ore Dock Brewing Company","/beer/profile/29238/89346/"
"Porter","American Porter",5.7,26,3.78,84,4,9.26,"MI","Ore Dock Brewing Company","/beer/profile/29238/89324/"
"Reclamation IPA","American IPA",7,46,3.98,87,8,11.31,"MI","Ore Dock Brewing Company","/beer/profile/29238/118175/"
"Saison","Saison / Farmhouse Ale",7.1,22,3.76,84,4,8.51,"MI","Ore Dock Brewing Company","/beer/profile/29238/89980/"
"Saison D'Hiver","Saison / Farmhouse Ale",8.3,12,3.96,85,3,5.56,"MI","Ore Dock Brewing Company","/beer/profile/29238/89552/"
"440 Pepper Smoker","Chile Beer",5.6,19,4.11,86,7,19.22,"MI","Original Gravity Brewing Company","/beer/profile/17232/51748/"
"Bourbon Barrel Bellywasher","Scotch Ale / Wee Heavy",8,12,3.6,83,2,15.28,"MI","Original Gravity Brewing Company","/beer/profile/17232/69736/"
"County Street Amber","American Amber / Red Ale",5.5,15,3.84,84,4,10.16,"MI","Original Gravity Brewing Company","/beer/profile/17232/51121/"
"Primordial Porter","American Porter",5.3,46,3.95,86,8,14.94,"MI","Original Gravity Brewing Company","/beer/profile/17232/51123/"
"Southpaw IPA","American IPA",6.6,44,3.74,84,6,13.9,"MI","Original Gravity Brewing Company","/beer/profile/17232/51119/"
"Journey IPA","American IPA",6,10,2.14,78,2,68.22,"MI","Osgood Brewing","/beer/profile/32020/99022/"
"2 Paws","American IPA",5.8,23,3.75,84,4,13.87,"MI","Paw Paw Brewing Company","/beer/profile/24745/67480/"
"Black River Oatmeal Stout","American Stout",5.8,62,3.81,85,13,10.5,"MI","Paw Paw Brewing Company","/beer/profile/24745/67481/"
"Black Talon","American Black Ale",6,16,3.57,83,2,8.68,"MI","Paw Paw Brewing Company","/beer/profile/24745/81156/"
"Citra Melon","American IPA",4.8,92,3.74,84,9,11.76,"MI","Paw Paw Brewing Company","/beer/profile/24745/114556/"
"Coconut Porter","American Porter",5.4,47,3.9,86,4,11.79,"MI","Paw Paw Brewing Company","/beer/profile/24745/106509/"
"Kalamazoo Urban Assault (K.U.A.)","American Pale Ale (APA)",6.3,41,3.28,80,4,15.24,"MI","Paw Paw Brewing Company","/beer/profile/24745/106507/"
"King James Scotch Ale","Scottish Ale",7.8,10,3.51,83,2,10.83,"MI","Paw Paw Brewing Company","/beer/profile/24745/128585/"
"South Branch Summer Ale","American Blonde Ale",5.2,16,3.32,82,2,16.57,"MI","Paw Paw Brewing Company","/beer/profile/24745/118591/"
"St. James English Ale","English Brown Ale",5.1,39,3.72,84,11,12.1,"MI","Paw Paw Brewing Company","/beer/profile/24745/67477/"
"Vanilla Porter","American Porter",6.1,12,3.94,85,1,13.71,"MI","Paw Paw Brewing Company","/beer/profile/24745/81094/"
"98 Problems (Cuz A Hop Ain't One)","American IPA",6.5,169,3.99,88,25,7.27,"MI","Perrin Brewery","/beer/profile/29952/176183/"
"Ain't No Sunshine","Belgian Pale Ale",6.5,22,3.81,84,0,9.71,"MI","Perrin Brewery","/beer/profile/29952/116255/"
"Barrel Aged Sustena-tor","Doppelbock",9.4,11,3.73,84,0,12.33,"MI","Perrin Brewery","/beer/profile/29952/116912/"
"Big Griz","American Brown Ale",12.5,47,4.08,88,10,6.37,"MI","Perrin Brewery","/beer/profile/29952/232221/"
"Black","American Black Ale",5.9,58,3.55,82,7,11.55,"MI","Perrin Brewery","/beer/profile/29952/108717/"
"Black Goat","Schwarzbier",8.5,77,4.03,88,13,5.46,"MI","Perrin Brewery","/beer/profile/29952/107888/"
"Blackberry IPA","American IPA",5,15,3.54,83,2,13.28,"MI","Perrin Brewery","/beer/profile/29952/197822/"
"Bullet Tooth","Russian Imperial Stout",9.5,11,3.95,85,0,3.29,"MI","Perrin Brewery","/beer/profile/29952/267014/"
"Caesar's Gimp","American Amber / Red Ale",13.2,12,4.11,86,3,4.62,"MI","Perrin Brewery","/beer/profile/29952/267541/"
"Caramel Nitro","American Brown Ale",4.6,11,4.06,85,4,11.08,"MI","Perrin Brewery","/beer/profile/29952/197820/"
"Damsel In Distress","Roggenbier",10,30,4.02,86,8,7.96,"MI","Perrin Brewery","/beer/profile/29952/251452/"
"Golden","American Blonde Ale",4.8,53,3.65,83,5,10.14,"MI","Perrin Brewery","/beer/profile/29952/101730/"
"Grapefruit IPA","American IPA",4.7,285,3.47,80,22,13.83,"MI","Perrin Brewery","/beer/profile/29952/93898/"
"Harvest Ale","American Pale Ale (APA)",5,13,3.63,83,0,8.26,"MI","Perrin Brewery","/beer/profile/29952/112447/"
"Hotbox Brown Ale","American Brown Ale",5.5,72,4,87,12,7.25,"MI","Perrin Brewery","/beer/profile/29952/195642/"
"I.I.P.A.","American Double / Imperial IPA",8.9,49,3.99,87,0,7.77,"MI","Perrin Brewery","/beer/profile/29952/109931/"
"IPA","American IPA",7.3,46,4.13,88,1,7.75,"MI","Perrin Brewery","/beer/profile/29952/109930/"
"Kettle Sour","American Wild Ale",3.8,13,3.73,84,2,7.51,"MI","Perrin Brewery","/beer/profile/29952/188062/"
"Kingdom Of Tonga Vanilla Porter","American Porter",7,57,3.95,87,2,7.85,"MI","Perrin Brewery","/beer/profile/29952/109929/"
"Kona Brown","American Amber / Red Ale",5.5,103,4,88,5,11.25,"MI","Perrin Brewery","/beer/profile/29952/97921/"
"Lil' Griz","American Brown Ale",6.7,179,3.9,87,40,9.49,"MI","Perrin Brewery","/beer/profile/29952/135436/"
"Lotsa' Problems IIPA","American Double / Imperial IPA",8.5,39,3.69,84,4,12.2,"MI","Perrin Brewery","/beer/profile/29952/192641/"
"Michigan Cherry IPA","American IPA",5.3,21,3.53,83,7,14.73,"MI","Perrin Brewery","/beer/profile/29952/273543/"
"No Problems IPA","American IPA",4.5,50,3.55,82,9,10.14,"MI","Perrin Brewery","/beer/profile/29952/206992/"
"Peace Out Stout","American Stout",5,13,3.6,83,1,8.89,"MI","Perrin Brewery","/beer/profile/29952/98937/"
"Perrin Black","Schwarzbier",5.8,114,3.8,85,11,10.79,"MI","Perrin Brewery","/beer/profile/29952/91600/"
"Perrin Blackberry Ipa","American IPA",5,71,3.76,84,13,10.11,"MI","Perrin Brewery","/beer/profile/29952/183180/"
"Poop Your Pants Chocolate Bock","Bock",6,47,3.89,86,11,8.23,"MI","Perrin Brewery","/beer/profile/29952/157199/"
"Raspberry Blonde","Fruit / Vegetable Beer",4.5,46,3.68,83,1,10.6,"MI","Perrin Brewery","/beer/profile/29952/101729/"
"Russian Imperial Stout","Russian Imperial Stout",8.9,17,3.88,85,2,11.08,"MI","Perrin Brewery","/beer/profile/29952/109933/"
"Rye Of The Liger","Rye Beer",5.2,17,4.03,86,0,7.44,"MI","Perrin Brewery","/beer/profile/29952/106624/"
"Stoutwood","Russian Imperial Stout",9,45,3.94,86,1,15.48,"MI","Perrin Brewery","/beer/profile/29952/112591/"
"Strong Pale","American Pale Ale (APA)",6.8,14,3.85,84,1,17.4,"MI","Perrin Brewery","/beer/profile/29952/93900/"
"The Rapture","American Pale Ale (APA)",6.8,10,3.59,83,1,12.26,"MI","Perrin Brewery","/beer/profile/29952/97927/"
"Triangulation","Oatmeal Stout",9,70,3.92,86,14,7.14,"MI","Perrin Brewery","/beer/profile/29952/269483/"
"Unfinished Business","American Double / Imperial Stout",13.1,93,4.02,88,20,9.7,"MI","Perrin Brewery","/beer/profile/29952/245129/"
"Veteran's Pale Ale","American Pale Ale (APA)",5,13,3.78,84,0,12.17,"MI","Perrin Brewery","/beer/profile/29952/128958/"
"White Noise","Belgian IPA",9.7,15,3.72,84,6,6.45,"MI","Perrin Brewery","/beer/profile/29952/242696/"
"Cranium Crush","Cream Ale",6.9,41,3.82,85,11,14.14,"MI","Petoskey Brewing Company","/beer/profile/30272/173946/"
"Hopsessed","American Double / Imperial IPA",9.1,67,3.83,85,11,9.4,"MI","Petoskey Brewing Company","/beer/profile/30272/92480/"
"Horny Monk","Dubbel",6.9,129,3.47,80,14,14.41,"MI","Petoskey Brewing Company","/beer/profile/30272/97938/"
"Juicy","American IPA",5.7,11,3.93,85,2,3.31,"MI","Petoskey Brewing Company","/beer/profile/30272/288857/"
"Mind's EyePA","American IPA",6.5,98,3.67,83,12,9.81,"MI","Petoskey Brewing Company","/beer/profile/30272/97398/"
"Morning Fog MochaJava Stout","American Stout",4.3,15,3.94,85,1,9.39,"MI","Petoskey Brewing Company","/beer/profile/30272/96380/"
"North 45 Amber Ale","American Amber / Red Ale",5.8,18,3.3,81,4,11.52,"MI","Petoskey Brewing Company","/beer/profile/30272/97435/"
"Petoskey Sparkle American Lager","American Pale Lager",4.1,14,3.46,83,3,10.98,"MI","Petoskey Brewing Company","/beer/profile/30272/104458/"
"Super Trooper","English Brown Ale",7.3,24,4.03,86,7,6.45,"MI","Petoskey Brewing Company","/beer/profile/30272/251527/"
"LMFAO (Let Me Fetch An Oatmeal) Stout","Oatmeal Stout",5,17,4.05,86,1,11.36,"MI","Pigeon Hill Brewing Company","/beer/profile/34314/120331/"
"OCP (Oatmeal Cream Pie)","American Brown Ale",6,87,3.59,82,10,13.93,"MI","Pigeon Hill Brewing Company","/beer/profile/34314/143339/"
"Renegade White DIPA","American Double / Imperial IPA",8.5,11,4.2,86,0,8.33,"MI","Pigeon Hill Brewing Company","/beer/profile/34314/120332/"
"Shifting Sands IPA","American IPA",6,24,3.84,85,3,10.94,"MI","Pigeon Hill Brewing Company","/beer/profile/34314/120330/"
"Walter Blonde Ale","American Blonde Ale",5,13,3.6,83,2,8.33,"MI","Pigeon Hill Brewing Company","/beer/profile/34314/119724/"
"Walter Gets Buzzed","American Blonde Ale",5,21,3.81,84,3,8.92,"MI","Pigeon Hill Brewing Company","/beer/profile/34314/246886/"
"Your Grandma On French Toast","American Double / Imperial Stout",11,12,4.66,88,2,4.51,"MI","Pigeon Hill Brewing Company","/beer/profile/34314/273909/"
"Your Mom On French Toast","American Double / Imperial Stout",11.5,76,4.29,91,14,7.69,"MI","Pigeon Hill Brewing Company","/beer/profile/34314/192078/"
"Heavy Soul","American Double / Imperial Stout",10.2,15,4.06,86,2,7.14,"MI","Pike 51 Brewing Company","/beer/profile/30143/97031/"
"Jeff's Birthday Barleywine","English Barleywine",10.5,10,3.92,85,0,9.69,"MI","Pike 51 Brewing Company","/beer/profile/30143/160707/"
"Sabotage","Milk / Sweet Stout",6.3,15,3.88,85,0,4.9,"MI","Pike 51 Brewing Company","/beer/profile/30143/124730/"
"Sensual Bean","American Double / Imperial Stout",10.2,24,4.21,87,2,4.99,"MI","Pike 51 Brewing Company","/beer/profile/30143/160706/"
"The Kush IPA","American IPA",6.2,14,3.86,84,0,6.99,"MI","Pike 51 Brewing Company","/beer/profile/30143/124726/"
"Oatmeal Espress Stout","American Stout",6,16,4.03,85,7,11.66,"MI","Red Jacket Brewing Company","/beer/profile/11508/25498/"
"Redwood Lodge American IPA","American IPA",6.2,14,3.71,84,8,11.05,"MI","Redwood Lodge","/beer/profile/3475/19701/"
"Redwood Lodge Brown Porter","American Porter",5.5,16,3.46,82,7,13.01,"MI","Redwood Lodge","/beer/profile/3475/14595/"
"Redwood Lodge Cream Stout","Milk / Sweet Stout",5.5,25,3.92,85,12,10.71,"MI","Redwood Lodge","/beer/profile/3475/14577/"
"Barrel Aged CEO Stout","American Stout",5.5,28,4,86,5,11.25,"MI","Right Brain Brewery","/beer/profile/16503/149406/"
"Black(Eye) PA","American IPA",6.6,31,4.37,89,7,10.53,"MI","Right Brain Brewery","/beer/profile/16503/60286/"
"Blue Magic","Herbed / Spiced Beer",4.5,55,3.72,84,8,13.71,"MI","Right Brain Brewery","/beer/profile/16503/101123/"
"CakeWalk Vanilla Cream","Cream Ale",3.8,52,3.72,84,7,10.75,"MI","Right Brain Brewery","/beer/profile/16503/95840/"
"CEO Stout","American Stout",5.5,332,3.82,86,53,11.78,"MI","Right Brain Brewery","/beer/profile/16503/46331/"
"Chubby Squirrel","Herbed / Spiced Beer",5.5,23,3.82,85,4,10.73,"MI","Right Brain Brewery","/beer/profile/16503/187911/"
"Concrete Dinosaur","American IPA",7.2,54,3.84,85,7,10.68,"MI","Right Brain Brewery","/beer/profile/16503/117967/"
"Dead Kettle IPA","American IPA",5.4,115,3.49,81,25,13.75,"MI","Right Brain Brewery","/beer/profile/16503/51717/"
"Debauchery","Wheatwine",9.2,15,3.55,83,3,9.01,"MI","Right Brain Brewery","/beer/profile/16503/93443/"
"Fat Lad","Russian Imperial Stout",10,34,3.47,82,6,12.68,"MI","Right Brain Brewery","/beer/profile/16503/57091/"
"Firestarter Chipotle Porter","American Porter",5.9,71,3.86,86,16,11.92,"MI","Right Brain Brewery","/beer/profile/16503/72928/"
"Flying Squirrel","American Brown Ale",NA,27,3.98,86,2,19.35,"MI","Right Brain Brewery","/beer/profile/16503/99358/"
"Igor Takes A Digger","American Brown Ale",7.7,18,3.6,83,4,18.33,"MI","Right Brain Brewery","/beer/profile/16503/92180/"
"Irish Goodbye","Irish Red Ale",4.8,10,3.5,83,2,7.43,"MI","Right Brain Brewery","/beer/profile/16503/93158/"
"Looping Owl","American Amber / Red Ale",8,63,3.78,85,8,14.81,"MI","Right Brain Brewery","/beer/profile/16503/77223/"
"Mangalitsa Pig Porter","American Porter",6,91,4.01,88,22,10.22,"MI","Right Brain Brewery","/beer/profile/16503/72900/"
"Naughty Girl Stout","American Stout",5.6,157,3.81,85,21,11.81,"MI","Right Brain Brewery","/beer/profile/16503/77222/"
"North Shore Iron Works","English Barleywine",9.6,26,3.9,85,5,10,"MI","Right Brain Brewery","/beer/profile/16503/127601/"
"Northern Hawk Owl","American Amber / Red Ale",5.8,125,3.49,81,18,13.75,"MI","Right Brain Brewery","/beer/profile/16503/89240/"
"Peanut Butter CEO Stout","American Stout",5.5,13,3.84,84,5,5.73,"MI","Right Brain Brewery","/beer/profile/16503/204103/"
"Pecan Piewhole","American Amber / Red Ale",6.3,15,3.06,80,3,14.05,"MI","Right Brain Brewery","/beer/profile/16503/99413/"
"Schrute Farms","Fruit / Vegetable Beer",5.8,21,3.62,83,0,9.12,"MI","Right Brain Brewery","/beer/profile/16503/103045/"
"Smooth Operator","Cream Ale",3.8,55,3.42,81,9,13.74,"MI","Right Brain Brewery","/beer/profile/16503/116988/"
"Spear Beer","Fruit / Vegetable Beer",5.3,42,3.63,83,6,12.12,"MI","Right Brain Brewery","/beer/profile/16503/95903/"
"Spinal Tapper IPA","American IPA",7.2,44,3.71,84,4,11.59,"MI","Right Brain Brewery","/beer/profile/16503/104573/"
"Spiny Norman IPA","American IPA",6.2,57,3.89,86,12,9.25,"MI","Right Brain Brewery","/beer/profile/16503/59450/"
"Stowaway Saison","Saison / Farmhouse Ale",5.7,15,3.32,82,1,18.67,"MI","Right Brain Brewery","/beer/profile/16503/99555/"
"Strawberry Fields","American Blonde Ale",4.6,41,3.87,85,4,14.21,"MI","Right Brain Brewery","/beer/profile/16503/69178/"
"Thai Peanut","Fruit / Vegetable Beer",8,52,3.84,85,4,15.36,"MI","Right Brain Brewery","/beer/profile/16503/95843/"
"Will Power Pale Ale","English Pale Ale",4.2,122,3.71,84,18,14.02,"MI","Right Brain Brewery","/beer/profile/16503/46400/"
"Around The Clock","American IPA",4.8,28,3.71,84,5,11.05,"MI","Roak Brewing Co.","/beer/profile/40894/175867/"
"Blow Your Face Out","American Double / Imperial IPA",10.1,81,4.22,90,19,6.87,"MI","Roak Brewing Co.","/beer/profile/40894/212370/"
"Chestnut Head","American Porter",6.8,24,3.97,86,2,8.06,"MI","Roak Brewing Co.","/beer/profile/40894/199763/"
"Devil Dog","Oatmeal Stout",8.5,82,3.94,87,20,9.14,"MI","Roak Brewing Co.","/beer/profile/40894/176051/"
"Higher Ground Coffee Stout","American Stout",6,13,4.08,85,1,5.64,"MI","Roak Brewing Co.","/beer/profile/40894/210752/"
"Kashmir","Belgian Strong Dark Ale",9.5,48,3.83,85,11,16.19,"MI","Roak Brewing Co.","/beer/profile/40894/178235/"
"Live Wire IPA","American IPA",7.5,76,3.84,85,15,8.07,"MI","Roak Brewing Co.","/beer/profile/40894/175859/"
"Mean Street","American Amber / Red Ale",5.5,16,3.55,83,4,5.92,"MI","Roak Brewing Co.","/beer/profile/40894/176053/"
"Melonfest","American Pale Wheat Ale",5.5,24,3.88,85,6,11.08,"MI","Roak Brewing Co.","/beer/profile/40894/179952/"
"Powerboat","Witbier",5.5,26,3.73,84,6,11.8,"MI","Roak Brewing Co.","/beer/profile/40894/175860/"
"Roaka Cadabra","Herbed / Spiced Beer",6.6,24,3.17,80,3,21.77,"MI","Roak Brewing Co.","/beer/profile/40894/184394/"
"Bananas Foster Milkshake Stout","American Stout",5.5,14,4.03,85,4,16.87,"MI","Rochester Mills Beer Co.","/beer/profile/2346/258717/"
"Blueberry Pancake Milkshake Stout","Milk / Sweet Stout",5.25,81,3.79,85,17,13.72,"MI","Rochester Mills Beer Co.","/beer/profile/2346/157736/"
"Chocolate Cheesecake Milkshake Stout","American Stout",5.25,36,3.93,86,7,9.92,"MI","Rochester Mills Beer Co.","/beer/profile/2346/150519/"
"Chocolate Orange Milkshake Stout","Milk / Sweet Stout",5.25,11,3.85,84,2,5.71,"MI","Rochester Mills Beer Co.","/beer/profile/2346/259492/"
"Cinnamon Swirl French Toast Milkshake Stout","Milk / Sweet Stout",5.25,12,3.81,84,4,4.99,"MI","Rochester Mills Beer Co.","/beer/profile/2346/258962/"
"Dubbel Fisted","Dubbel",8,13,3.77,84,4,6.37,"MI","Rochester Mills Beer Co.","/beer/profile/2346/223521/"
"German Chocolate Cake Milkshake Stout","American Stout",5.2,12,3.9,85,3,7.44,"MI","Rochester Mills Beer Co.","/beer/profile/2346/258718/"
"Imperial Milkshake Stout","Milk / Sweet Stout",8.5,22,3.71,84,4,8.36,"MI","Rochester Mills Beer Co.","/beer/profile/2346/153382/"
"Lazy Daze Amber Lager","American Amber / Red Lager",5.1,10,3.32,82,2,17.47,"MI","Rochester Mills Beer Co.","/beer/profile/2346/132139/"
"Newton's ALEchemy","American Double / Imperial IPA",8.8,27,3.91,85,6,8.18,"MI","Rochester Mills Beer Co.","/beer/profile/2346/157826/"
"Rochester Mills Brickshot ESB","Extra Special / Strong Bitter (ESB)",5.4,21,3.52,83,3,11.93,"MI","Rochester Mills Beer Co.","/beer/profile/2346/50012/"
"Rochester Mills Cornerstone IPA","American IPA",7,154,3.63,83,36,14.05,"MI","Rochester Mills Beer Co.","/beer/profile/2346/7026/"
"Rochester Mills Euphorious","English Brown Ale",7.7,15,3.78,84,4,10.32,"MI","Rochester Mills Beer Co.","/beer/profile/2346/253996/"
"Rochester Mills Lazy Daze Lager","Munich Helles Lager",5.3,35,3.57,83,8,15.69,"MI","Rochester Mills Beer Co.","/beer/profile/2346/9399/"
"Rochester Mills Magnificent","Milk / Sweet Stout",9,20,3.95,85,8,8.61,"MI","Rochester Mills Beer Co.","/beer/profile/2346/253994/"
"Rochester Mills Michigan Maple Brown Ale","American Brown Ale",6.5,15,3.71,84,3,9.43,"MI","Rochester Mills Beer Co.","/beer/profile/2346/92023/"
"Rochester Mills Milkshake Stout","Milk / Sweet Stout",5,311,3.64,83,49,12.64,"MI","Rochester Mills Beer Co.","/beer/profile/2346/7045/"
"Rochester Mills Oktoberfest","Märzen / Oktoberfest",6.3,43,3.61,83,6,10.53,"MI","Rochester Mills Beer Co.","/beer/profile/2346/19695/"
"Rochester Mills Paint Creek Porter","American Porter",5.7,18,3.5,83,4,11.71,"MI","Rochester Mills Beer Co.","/beer/profile/2346/7622/"
"Rochester Mills Pine Knob Pilsner","Czech Pilsener",5.3,22,4.01,86,4,12.97,"MI","Rochester Mills Beer Co.","/beer/profile/2346/144038/"
"Rochester Mills Pleszures Pale Ale","American Pale Ale (APA)",6.1,11,3.91,85,1,13.04,"MI","Rochester Mills Beer Co.","/beer/profile/2346/113397/"
"Rochester Mills Red Velvet Ale","English Brown Ale",5.8,17,3.75,84,7,11.47,"MI","Rochester Mills Beer Co.","/beer/profile/2346/255936/"
"Rochester Mills Righteous","Irish Red Ale",6.8,13,3.81,84,3,12.07,"MI","Rochester Mills Beer Co.","/beer/profile/2346/253993/"
"Rochester Mills Rochester Red","American Amber / Red Lager",6.3,104,3.47,80,14,11.82,"MI","Rochester Mills Beer Co.","/beer/profile/2346/7052/"
"Rochester Mills Splendiferous","American Amber / Red Ale",9,18,3.72,84,4,11.83,"MI","Rochester Mills Beer Co.","/beer/profile/2346/253999/"
"Rochester Mills Wits Organic","Witbier",6.1,12,3.48,83,3,12.64,"MI","Rochester Mills Beer Co.","/beer/profile/2346/40092/"
"Santa's Breath Milkshake Stout","Milk / Sweet Stout",5.25,11,3.83,84,2,9.92,"MI","Rochester Mills Beer Co.","/beer/profile/2346/258628/"
"Toasted Marshmallow","Milk / Sweet Stout",5.2,30,3.92,85,7,8.67,"MI","Rochester Mills Beer Co.","/beer/profile/2346/206331/"
"Tongue Tied Cherry Saison","Saison / Farmhouse Ale",5.75,42,3.75,84,6,13.07,"MI","Rochester Mills Beer Co.","/beer/profile/2346/121609/"
"Turtle Dove Milkshake Stout","Milk / Sweet Stout",5.25,13,4,85,4,5.75,"MI","Rochester Mills Beer Co.","/beer/profile/2346/258712/"
"Vanilla Latte Milkshake Stout","Milk / Sweet Stout",5.25,12,3.88,84,3,3.35,"MI","Rochester Mills Beer Co.","/beer/profile/2346/259029/"
"Water Street Wheat","Hefeweizen",5.8,14,3.41,82,6,20.23,"MI","Rochester Mills Beer Co.","/beer/profile/2346/42109/"
"When Worlds Collide","American IPA",6,11,4.02,85,1,8.21,"MI","Rochester Mills Beer Co.","/beer/profile/2346/277252/"
"Carriage House Ale","American Pale Ale (APA)",5.9,12,3.08,81,1,14.61,"MI","Rockford Brewing Company","/beer/profile/30567/91810/"
"Hoplust IPA","American IPA",7.1,31,3.71,84,4,7.55,"MI","Rockford Brewing Company","/beer/profile/30567/91812/"
"Obsession","Rye Beer",4.3,10,3.62,83,2,19.89,"MI","Rockford Brewing Company","/beer/profile/30567/95507/"
"Paradigm","American Pale Ale (APA)",6,10,3.87,84,1,7.49,"MI","Rockford Brewing Company","/beer/profile/30567/173013/"
"Rogue River Brown","English Brown Ale",6.5,18,3.87,85,0,8.79,"MI","Rockford Brewing Company","/beer/profile/30567/103350/"
"Sheehan’s Irish Stout","Irish Dry Stout",5.3,13,3.55,83,2,7.89,"MI","Rockford Brewing Company","/beer/profile/30567/91811/"
"Amber Ale","American Amber / Red Ale",4.4,21,3.52,83,13,12.78,"MI","Round Barn Brewery","/beer/profile/11882/43941/"
"Bob's Your Uncle","English Bitter",4.8,37,3.34,80,10,13.17,"MI","Round Barn Brewery","/beer/profile/11882/73689/"
"Grape Expectations","Fruit / Vegetable Beer",6.8,23,3.41,82,5,17.6,"MI","Round Barn Brewery","/beer/profile/11882/70852/"
"Hop Dealer","American IPA",6,15,3.94,85,2,7.11,"MI","Round Barn Brewery","/beer/profile/11882/134736/"
"Indecision Ale","American Amber / Red Ale",5.3,39,3.28,80,6,15.24,"MI","Round Barn Brewery","/beer/profile/11882/104361/"
"Kölsch-Style Beer","Kölsch",5.2,73,3.63,83,14,12.67,"MI","Round Barn Brewery","/beer/profile/11882/45006/"
"Oaked IPA","American IPA",6.75,117,3.57,82,41,15.97,"MI","Round Barn Brewery","/beer/profile/11882/45467/"
"Oronoko Cocoa Stout","Milk / Sweet Stout",5.8,106,3.5,81,43,14.86,"MI","Round Barn Brewery","/beer/profile/11882/44280/"
"Vacation Wheat Beer","American Pale Wheat Ale",6.4,33,3.63,83,10,10.74,"MI","Round Barn Brewery","/beer/profile/11882/43382/"
"Brewhouse ESB","Extra Special / Strong Bitter (ESB)",5.4,19,3.58,83,11,8.66,"MI","Royal Oak Brewery","/beer/profile/2351/8119/"
"Northern Light","Light Lager",4.2,14,3.12,81,8,24.68,"MI","Royal Oak Brewery","/beer/profile/2351/19694/"
"Royal Oak Pappy's Porch Sippin' Porter","American Porter",6,15,3.74,84,7,6.95,"MI","Royal Oak Brewery","/beer/profile/2351/27663/"
"Royal Oak Red","American Amber / Red Ale",5.5,20,3.53,83,7,10.2,"MI","Royal Oak Brewery","/beer/profile/2351/24453/"
"Royal Pride IPA","American IPA",6.2,26,3.76,84,4,13.83,"MI","Royal Oak Brewery","/beer/profile/2351/42374/"
"Double High IPA","American Double / Imperial IPA",8.1,13,3.91,85,0,10.23,"MI","Rupert's Brew House","/beer/profile/33828/120018/"
"Not So Peanut Butter Porter","American Porter",5.3,12,3.82,84,0,6.81,"MI","Rupert's Brew House","/beer/profile/33828/120020/"
"Backyard Session IPA","American IPA",4.5,117,3.81,85,19,10.24,"MI","Saugatuck Brewing Company","/beer/profile/11814/135812/"
"Barrel Aged Blueberry Maple Stout","American Stout",6,12,4.44,87,3,14.19,"MI","Saugatuck Brewing Company","/beer/profile/11814/267332/"
"Barrel Aged Darker Than Your Soul","American Stout",6.5,19,3.87,85,2,9.3,"MI","Saugatuck Brewing Company","/beer/profile/11814/156830/"
"Barrel Aged Neapolitan Milk Stout","Milk / Sweet Stout",6,256,4.12,91,46,7.52,"MI","Saugatuck Brewing Company","/beer/profile/11814/145763/"
